K A T	E
king and the	queen people duke royal court parliament nobles king nation prince pope archbishop lords other kingdom princes barons Duke nobility government great state whole bishops earl two cardinal minister country church council bishop priest Parliament realm aristocracy princess English emperor crown chiefs Council ministers Church rest army chief Pope law dauphin French high clergy priests House subject ministry beggar commons
king and those	who of
king and to	the his
king and told	him
king and with	the
king answered and	said
king appeared to	be
king appears to	have
king as he	was
king as head	of
king as long	as
king as much	as
king as soon	as
king as the	head
king as to	the
king as well	as
king ascended the	throne
king asked him	to
king at his	coronation
king at its	head
king at that	time
king at the	time head same age end top
king at their	head
king at this	time
king because he	was
king because of	his
king by divine	right
king by means	of
king by the	grace name people
king by virtue	of
king came in	to
king came into	the
king came of	age
king came to	the be
king can do	no
king can not	be do
king caused to	be
king comes to	you
king cometh unto	thee
king commanded him	to
king commanded that	the
king could do	no
king could no	longer
king could not	be have
king declared that	he
king delighteth to	honour
king did not	know have want like wish think
king died and	then
king down to	the
king for a	day
king for permission	to
king for the	time purpose first
king found it	necessary
king from among	the
king from his	throne
king gave him	a the
king gave his	consent
king gave orders	that to for
king gave them	a
king gave to	the
king granted to	the
king had a	right great
king had agreed	to
king had been	a so the
king had come	to
king had decided	to
king had determined	to
king had given	him his to the
king had gone	to
king had his	own
king had in	his
king had left	the
king had made	a
king had no	right power intention
king had not	been yet
king had ordered	the
king had promised	to
king had refused	to
king had resolved	to
king had sent	to him for a
king had set	up
king had taken	the
king had the	right power
king had to	be
king happened to	be
king has the	right power
king heard of	this the
king himself and	his the
king himself could	not
king himself did	not
king himself in	the
king himself was	not the a
king in all	his but the
king in favor	of
king in favour	of
king in his	own place stead palace wars chariot beauty kingdom father
king in order	to
king in place	of
king in regard	to
king in return	for
king in spite	of
king in such	a
king in the	world midst same first name land presence year person form city following
king is a	child man king
king is about	to
king is at	the
king is bound	to
king is but	a
king is coming	to
king is described	as
king is entitled	to
king is going	to
king is in	the
king is made	to
king is no	longer
king is not	a to the only bound
king is one	of
king is represented	as
king is said	to
king is supposed	to
king is the	head
king is to	be
king issued a	proclamation
king looked at	him the
king made a	great
king made him	a
king may have	been
king mentioned in	the
king might have	been
king must be	a
king must have	been
king must not	be
king of Aragon	and
king of Assyria	and came to
king of Babylon	and had was in came to is
king of Bohemia	and in
king of Castile	and
king of Denmark	and was to in had
king of East	Anglia
king of Egypt	and was had to died came will
king of England	and was had to in is as should for would by at has from who could too with or on the can were
king of France	and was had to is in at would for as should has from by who with or sent could on that were did the himself
king of Germany	and
king of Great	Britain
king of Hungary	and in
king of Israel	and was had in said to is
king of Italy	and in
king of Jerusalem	and
king of Judah	and was
king of Leon	and
king of Lower	Egypt
king of Naples	and
king of Navarre	and was
king of North	Wales
king of Norway	and
king of Persia	and to was
king of Poland	and in was
king of Portugal	and to was had in
king of Prussia	was and had to in at has is as
king of Sardinia	was
king of Saudi	Arabia
king of Scotland	and was in had
king of Scots	was and
king of Sicily	and
king of Spain	and to was had in would is as should for
king of Sri	Lanka
king of Sumer	and
king of Sweden	and was in to had
king of Syria	and
king of Upper	and Egypt
king of a	united country great small free new
king of all	the England Israel Ireland things birds that
king of an	independent
king of fierce	countenance
king of flesh	and
king of gods	and
king of heaven	and
king of his	own people
king of infinite	space
king of its	own
king of kings	and
king of one	of
king of shreds	and
king of such	a
king of that	country name island land city province place
king of the	Romans Jews Franks gods country world French Goths Lombards West Visigoths Huns East north English land whole island Scots south Vandals Ostrogoths Persians city forest Netherlands Mercians Picts universe Medes hill jungle Amorites Britons Belgians Two beasts dynasty mountain South North castle Danes dead house same earth Ammonites underworld birds Assyrians sea Germans Hittites Burgundians people new Philistines Parthians fairies two first Amalekites demons Northumbrians northern four Macedonians First tribe monkeys realm Sidonians Arabs House Zulus line Chaldeans name Lacedaemonians Greeks place old Hebrews Molossians nation United Indians animals Saxons road great mountains Sandwich vultures Khazars ancient state kings Scythians region Moabites kingdom Gauls Ethiopians Geats Suevi latter Heruli Bulgarians race day Nagas serpents Third second Egyptians eighteenth desert time Anglo family united air Israelites other southern
king of their	own
king of them	all
king of this	country dynasty land realm world name
king on a	throne
king on account	of
king on behalf	of
king on his	throne return accession way
king on one	side
king on the	throne subject death other one
king on this	occasion
king or a	queen prince great
king or an	emperor
king or any	other of
king or by	the
king or chief	of
king or his	ministers council representative
king or house	of
king or of	the a his
king or one	of
king or queen	of is in
king or the	queen state
king or to	the
king ordered him	to
king ordered that	the
king ordered them	to
king ought not	to
king ought to	be have
king our sovereign	lord
king out of	the his
king over Israel	in
king over all	the Israel
king over the	whole water children
king rather than	the to
king received him	with
king replied that	he
king returned to	his the
king rose from	his
king said he	would
king said that	he
king said to	him the his her them me
king said unto	him
king sat on	the
king seated on	a his
king seemed to	be
king seems to	have be
king sent a	message
king sent for	the him his
king sent to	the
king set out	for
king shall be	king
king shall have	the
king shook his	head
king should be	a
king should have	the been
king should not	be
king so long	as
king so that	he
king that he	had would was should could might is
king that if	he
king that it	was
king that now	is
king that shall	reign
king that there	was
king that they	were had
king the right	to of
king to accept	the
king to agree	to
king to allow	him
king to appoint	a
king to be	the a
king to change	his
king to come	to
king to consent	to
king to form	a
king to give	him the up
