G A B	C
gives reasons for	the believing
gives recognition to	the
gives references to	the
gives rein to	his
gives relief to	the
gives rest to	the
gives results for	the
gives results similar	to
gives results that	are
gives results which	are
gives rise also	to
gives rise both	to
gives rise directly	to
gives rise in	the
gives rise not	only
gives rise only	to
gives rise to	the a an two many some no new this what another all it one such several more certain its three much various different them both problems these serious very symptoms four pain that considerable other numerous great any our further questions and difficulties large those feelings so only increased severe most additional their high secondary special strong his multiple specific social small similar changes anxiety local concern differences greater confusion liability significant thought higher characteristic important at conflict sensations is acute in particular intense complex little conflicts doubts something interesting endless every less
gives room for	the a
gives rules for	the
gives satisfaction to	the
gives satisfactory results	in for
gives scant attention	to
gives scope for	the
gives scope to	the
gives security to	the
gives sense to	the
gives several examples	of
gives several instances	of
gives several reasons	for
gives shape to	the a
gives short shrift	to
gives sight to	the
gives significance to	the
gives so much	of pleasure
gives some account	of
gives some attention	to
gives some clue	to
gives some credence	to
gives some data	on
gives some degree	of
gives some details	of about
gives some evidence	of
gives some examples	of
gives some hint	of
gives some idea	of
gives some impression	of
gives some indication	of that as
gives some indications	of
gives some information	about on
gives some insight	into
gives some interesting	details information particulars
gives some kind	of
gives some measure	of
gives some notion	of
gives some of	the his
gives some particulars	of
gives some protection	against
gives some sense	of
gives some sort	of
gives some support	to
gives some values	of
gives some very	interesting
gives some weight	to
gives something of	the
gives something to	the
gives special attention	to
gives special consideration	to
gives special emphasis	to
gives special importance	to
gives special prominence	to
gives specific examples	of
gives stability to	the
